route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Boat-EastBoston-0-0,Boat-EastBoston,0,Long Wharf - Lewis Wharf,,4,30005099,Boat-EastBoston-0715-Long-BEB-01-Weekday-Summer-22
Boat-EastBoston-0-1,Boat-EastBoston,1,Lewis Wharf - Long Wharf,,4,30005199,Boat-EastBoston-0700-Lewis-BEB-01-Weekday-Summer-22
747-_-0,747,0,Ruggles Station - Sullivan Square Station,Weekdays only,1,40020000,53164904
747-_-1,747,1,Sullivan Square Station - Ruggles Station,Weekdays only,1,40020100,53164871
708-_-0,708,0,Andrew Station - Brookline Ave,Weekdays only,1,40030000,53305995
708-1-0,708,0,Andrew Station - Ave Louis Pasteur,Weekdays only,1,40030003,53165486
708-_-1,708,1,Brookline Ave - Andrew Station,Weekdays only,1,40030100,53305994
708-1-1,708,1,Ave Louis Pasteur - Andrew Station,Weekdays only,1,40030103,53165480
1-_-0,1,0,Nubian Station - Harvard Square,,1,50010000,53304633
1-_-1,1,1,Harvard Square - Nubian Station,,1,50010100,53304638
4-1-0,4,0,Tide St - North Station,Weekdays only,1,50040000,53165099
4-_-0,4,0,Tide St - North Station via South Station,Weekdays only,1,50040002,53165291
4-3-1,4,1,North Station - Tide St (Detour),Weekdays only,1,50040100,53165288
4-1-1,4,1,North Station - Tide St via South Station,Weekdays only,1,50040101,53165096
7-1-0,7,0,Otis St & Summer St - City Point,,1,50070000,53305142
7-2-0,7,0,Otis St & Summer St - City Point via East 1st St,Weekdays only,2,50070004,53305512
7-7-0,7,0,Chauncy St & Summer St - City Point,AM peak hours only,3,50070007,53305384
7-1-1,7,1,City Point - Otis St & Summer St,,1,50070100,53305157
7-2-1,7,1,City Point - Otis St & Summer St via East 1st St,Weekdays only,2,50070104,53305156
8-9-0,8,0,Kenmore Station - Harbor Point via South Bay Center,,1,50080000,53164829
8-1-0,8,0,Kenmore Station - Harbor Point,,2,50080004,53164911
8-D-0,8,0,Kenmore Station - Ruggles Station,School days only,3,50080008,53306816_2
8-9-1,8,1,Harbor Point - Kenmore Station via South Bay Center,,1,50080100,53164838
8-1-1,8,1,Harbor Point - Kenmore Station,,2,50080104,53164908
8-D-1,8,1,Ruggles Station - Kenmore Station,School days only,3,50080108,53306666_2
9-_-0,9,0,Copley Station - City Point,,1,50090000,53164902
9-1-0,9,0,Copley Station - City Point via L St,Weekday mornings only,2,50090004,53165460
9-5-0,9,0,Ave Louis Pasteur - City Point via Andrew Station,School days only,3,50090007,53165243
9-_-1,9,1,City Point - Copley Station,,1,50090100,53164914
9-4-1,9,1,City Point - Kenmore Station via Ave Louis Pasteur,School days only,3,50090104,53306479
10-9-0,10,0,Copley Square - City Point via South Bay Center,,1,50100000,53165315
10-8-0,10,0,Townsend St & Warren St - City Point via Nubian Station,School days only,3,50100004,53165318
10-E-0,10,0,Andrew Station - City Point,School days only,3,50100006,53306313_2
10-5-0,10,0,Copley Station - City Point,Late nights only,3,50100008,53305196
10-9-1,10,1,City Point - Copley Square via South Bay Center,,1,50100100,53165312
10-2-1,10,1,City Point - Franklin Park via Andrew,School days only,3,50100104,53306688
11-3-0,11,0,Chauncy St & Summer St - City Point,,1,50110000,53304731
11-3-1,11,1,City Point - Chauncy St & Summer St,,1,50110100,53304729
14-_-0,14,0,Heath St - Roslindale Square,,1,50140000,53258827
14-_-1,14,1,Roslindale Square - Heath St,,1,50140100,53258828
15-_-0,15,0,Ruggles Station - Kane Square,Weekdays only,1,50150000,53165154
15-2-0,15,0,Ruggles Station - St Peter's Square,Weekday middays only,2,50150003,53304968
15-1-0,15,0,Ruggles Station - Fields Corner Station,,2,50150005,53165152
15-3-0,15,0,Nubian Station - Kane Square,School days only,3,50150008,53306770
15-6-0,15,0,Malcolm X Blvd - Fields Corner Station,School days only,3,50150010,53306169
15-H-0,15,0,Haymarket Station - Mattapan Station,Early mornings only,3,50150012,53304786
15-_-1,15,1,Kane Square - Ruggles Station,Weekdays only,1,50150100,53165159
15-2-1,15,1,St Peter's Square - Ruggles Station,Weekday middays only,2,50150103,53304972
15-1-1,15,1,Fields Corner Station - Ruggles Station,,2,50150105,53165157
15-3-1,15,1,Kane Square - Nubian Station,School days only,3,50150109,53306776
15-4-1,15,1,Ashmont Station - Nubian Station,Early mornings only,3,50150111,53304630
15-H-1,15,1,Mattapan Station - Haymarket Station,Early mornings only,3,50150114,53304793
16-9-0,16,0,Andrew Station - Forest Hills Station via South Bay Center,,2,50160000,53165401
16-5-0,16,0,McCormack Housing - Forest Hills via South Bay Center,,2,50160004,53165211
16-3-0,16,0,Andrew Station - Forest Hills Station,,2,50160007,53304640
16-8-0,16,0,Harbor Point - Forest Hills Station via South Bay Center,Weekdays only,2,50160011,53165402
16-2-0,16,0,Harbor Point - Forest Hills Station,Weekdays only,2,50160013,53304666
16-9-1,16,1,Forest Hills Station - Andrew Station via South Bay Center,,2,50160100,53165209
16-5-1,16,1,Forest Hills - McCormack Housing via South Bay Center,,2,50160104,53304687
16-3-1,16,1,Forest Hills Station - Andrew Station,,2,50160107,53304635
16-8-1,16,1,Forest Hills Station - Harbor Point via South Bay Center,Weekdays only,2,50160111,53165399
16-2-1,16,1,Forest Hills Station - Harbor Point,Weekdays only,2,50160113,53304658
16-E-1,16,1,Franklin Park - Andrew Station,School days only,3,50160116,53306313_1
17-_-0,17,0,Andrew Station - Fields Corner Station,,1,50170000,53164881
17-_-1,17,1,Fields Corner Station - Andrew Station,,1,50170100,53164867
18-1-0,18,0,Andrew Station - Ashmont Station,,1,50180000,53307284
18-1-1,18,1,Ashmont Station - Andrew Station,,1,50180100,53307294
19-3-0,19,0,Kenmore Station - Fields Corner Station,Weekdays only,1,50190000,53164977
19-_-0,19,0,Ruggles Station - Fields Corner Station,Weekdays only,2,50190003,53164866
19-F-0,19,0,Warren St & Townsend St - Fields Corner Station,School days only,3,50190006,53164978_1
19-1-0,19,0,Malcolm X Blvd - Fields Corner Station,School days only,3,50190008,53306777
19-E-0,19,0,Ave Louis Pasteur - Fields Corner Station,School days only,3,50190010,53165499_1
19-3-1,19,1,Fields Corner Station - Kenmore Station,Weekdays only,1,50190100,53164975
19-_-1,19,1,Fields Corner Station - Ruggles Station,Weekdays only,2,50190103,53165062
19-E-1,19,1,Fields Corner Station - Ave Louis Pasteur,School days only,3,50190106,53304696_2
21-_-0,21,0,Forest Hills Station - Ashmont Station,,1,50210000,53257930
21-A-0,21,0,Forest Hills Station - Ashmont Station,School days only,3,50210004,53257861_2
21-_-1,21,1,Ashmont Station - Forest Hills Station,,1,50210100,53257863
21-B-1,21,1,Ashmont Station - Forest Hills Station,School days only,3,50210104,53257860_1
22-_-0,22,0,Ruggles Station - Ashmont Station,,1,50220000,53164890
22-1-0,22,0,Malcolm X Blvd - Ashmont Station,School days only,3,50220004,53306932
22-2-0,22,0,Ave Louis Pasteur - Ashmont Station,School days only,3,50220006,53306321
22-3-0,22,0,Warren St & Townsend St - Ashmont Station,School days only,3,50220008,53164869
22-_-1,22,1,Ashmont Station - Ruggles Station,,1,50220100,53164870
23-_-0,23,0,Ruggles Station - Ashmont Station,,1,50230000,53304781
23-1-0,23,0,Townsend St & Warren St - Ashmont Station,School days only,3,50230004,53305447
23-3-0,23,0,Malcolm X Blvd - Ashmont Station,School days only,3,50230006,53307092
23-E-0,23,0,Nubian Station - Franklin Park,School days only,3,50230008,53306322_3
23-_-1,23,1,Ashmont Station - Ruggles Station,,1,50230100,53304795
23-G-1,23,1,Warren St & Quincy St - Nubian Station,School days only,3,50230104,53306866_1
23-2-1,23,1,Ashmont Station - Nubian Station,School days only,3,50230106,53306604
24-2-0,24,0,Ashmont Station - Wakefield Ave & Truman Pkwy,,1,50240000,53258034
24-_-0,24,0,Mattapan Station - Wakefield Ave & Truman Pkwy,Early mornings only,3,50240004,53256720
24-2-1,24,1,Wakefield Ave & Truman Pkwy - Ashmont Station,,1,50240100,53258035
24-5-1,24,1,Logan Square - Ashmont Station,Early mornings only,3,50240104,53256729
26-1-0,26,0,Gallivan Blvd - Ashmont Station via Washington St,,1,50260000,53258239
26-1-1,26,1,Ashmont Station - Gallivan Blvd via Norfolk St,,1,50260100,53258240
28-_-0,28,0,Ruggles Station - Mattapan Station,,1,50280000,53423057
28-6-0,28,0,Malcolm X Blvd - Mattapan Station (Omits Nubian Station),School days only,3,50280004,53305204
28-9-0,28,0,Ave Louis Pasteur - Mattapan Station,School days only,3,50280006,53257831
28-_-1,28,1,Mattapan Station - Ruggles Station,,1,50280100,53423056
28-2-1,28,1,Mattapan Station - Nubian Station,Early mornings only,3,50280104,53305030
28-5-1,28,1,Townsend St & Warren St - Ruggles Station,School days only,3,50280107,53307227
29-1-0,29,0,Jackson Square Station - Mattapan Station via Franklin Field,Weekdays only,1,50290000,53258008
29-5-0,29,0,Jackson Square Station - Mattapan Station,Weekdays only,1,50290003,53258028
29-_-0,29,0,Ruggles Station - Mattapan Station,,2,50290006,53258869
29-1-1,29,1,Mattapan Station - Jackson Square Station via Franklin Field,Weekdays only,1,50290100,53257998
29-5-1,29,1,Mattapan Station - Jackson Square Station,Weekdays only,1,50290102,53258016
29-_-1,29,1,Mattapan Station - Ruggles Station,Evenings only,3,50290105,53258861
30-2-0,30,0,Forest Hills Station - Mattapan Station,,1,50300000,53258763
30-2-1,30,1,Mattapan Station - Forest Hills Station,,1,50300100,53258795
31-_-0,31,0,Forest Hills Station - Mattapan Station,,1,50310000,53258887
31-_-1,31,1,Mattapan Station - Forest Hills Station,,1,50310100,53258889
32-1-0,32,0,Forest Hills Station - Wolcott Square,,1,50320000,53257852_2
32-_-0,32,0,Forest Hills Station - Cleary Square,Weekdays only,2,50320004,53259221
32-3-0,32,0,Forest Hills Station - Wolcott Square via Westinghouse Plaza,School days only,3,50320007,53257849
32-9-0,32,0,Wolcott Square - Townsend St & Humboldt Ave,School days only,3,50320009,53257840
32-1-1,32,1,Wolcott Square - Forest Hills Station,,1,50320100,53259030
32-_-1,32,1,Cleary Square - Forest Hills Station,Weekdays only,2,50320104,53259222
32-3-1,32,1,Wolcott Square - Forest Hills Station via Westinghouse Plaza,School days only,3,50320107,53257850
32-9-1,32,1,Townsend St & Humboldt Ave - Wolcott Square,School days only,3,50320109,53257845
32-C-1,32,1,Wolcott Square - Forest Hills Station,School days only,3,50320111,53257825_1
3233-5-0,3233,0,Forest Hills Station - River St & Milton St,Early mornings only,1,50321000,53257789
33-5-0,33,0,Mattapan Station - River St & Milton St via West Milton St (AM Route),,1,50330000,53257791
33-6-0,33,0,Mattapan Station - River St & Milton St (PM Route),Weekdays only,1,50330004,53257804
33-1-0,33,0,Mattapan Station - River St & Milton St via Westinghouse Plz,AM peak hours only,3,50330007,53258756
33-5-1,33,1,River St & Milton St - Mattapan Station (AM Route),,1,50330100,53257790
33-6-1,33,1,River St & Milton St - Mattapan Station via West Milton St (PM Route),Weekdays only,2,50330104,53257805
33-1-1,33,1,River St & Milton St - Mattapan Station via Westinghouse Plz,Weekdays only,3,50330107,53257848
33-7-1,33,1,River St & Milton St - Forest Hills Station via W Milton St,Weekday evenings only,3,50330109,53257814
33-4-1,33,1,River St & Milton St - Forest Hills Station,,3,50330111,53256749
34-3-0,34,0,Forest Hills Station - Dedham Mall,,1,50340000,53259499
34-_-0,34,0,Forest Hills Station - Dedham Line,,3,50340004,53257854_2
34-K-0,34,0,Townsend St & Humboldt Ave - Dedham Line via Forest Hills,School days only,3,50340008,53257841
34-3-1,34,1,Dedham Mall - Forest Hills Station,,1,50340100,53259443
34-_-1,34,1,Dedham Line - Forest Hills Station,,3,50340104,53257853_1
34-K-1,34,1,Dedham Line - Townsend St & Humboldt Ave via Forest Hills,School days only,3,50340107,53257844
34E-4-0,34E,0,Forest Hills Station - Walpole Center,,1,50341000,53259561
34E-6-0,34E,0,Forest Hills Station - East Walpole,,2,50341004,53259634
34E-1-1,34E,1,Walpole Center - Forest Hills Station,,1,50341100,53259555
34E-6-1,34E,1,East Walpole - Forest Hills Station,,2,50341104,53259627
35-1-0,35,0,Forest Hills Station - Dedham Mall,,1,50350000,53258323
35-_-0,35,0,Forest Hills Station - Stimson St & Washington St,Mornings only,2,50350004,53258325
35-3-0,35,0,Ave Louis Pasteur - Dedham Mall via Forest Hills Station,School days only,3,50350008,53257846
35-1-1,35,1,Dedham Mall - Forest Hills Station,,1,50350100,53258327
35-_-1,35,1,Stimson St & Washington St - Forest Hills Station,,2,50350104,53258326
35-2-1,35,1,Stimson & Washington St - Ave Louis Pasteur via Forest Hills,School days only,3,50350108,53257847
36-8-0,36,0,"Forest Hills Station - VA Hospital, West Roxbury",,1,50360000,53258318
36-1-0,36,0,Forest Hills Station - Millennium Park,Weekdays only,2,50360004,53258429
36-5-0,36,0,Forest Hills Station - Rivermoor Industrial Park,Weekday evenings only,3,50360007,53258304
36-9-0,36,0,Townsend & Humboldt - Charles River Loop via Forest Hills,School days only,3,50360009,53257839
36-A-0,36,0,Forest Hills Station - Charles River Loop,School days only,3,50360011,53257856_2
36-8-1,36,1,"VA Hospital, West Roxbury - Forest Hills Station",,1,50360100,53258350
36-1-1,36,1,Millennium Park - Forest Hills Station,Weekdays only,2,50360104,53258349
36-5-1,36,1,Rivermoor Industrial Park - Forest Hills Station,Weekday evenings only,3,50360107,53258381
36-_-1,36,1,Charles River Loop - Forest Hills Station,School days only,3,50360109,53257855_1
36-9-1,36,1,Charles River Loop - Townsend & Humboldt via Forest Hills,School days only,3,50360112,53257837
37-_-0,37,0,Forest Hills Station - Baker St & Vermont St,,1,50370000,53258565
37-D-0,37,0,Forest Hills Station - LaGrange St & Corey St,School days only,3,50370004,53257858_2
37-_-1,37,1,Baker St & Vermont St - Forest Hills Station,,1,50370100,53258296
37-3-1,37,1,LaGrange St & Corey St - Forest Hills Station,School days only,3,50370104,53257828
38-_-0,38,0,Forest Hills Station - Wren St,,1,50380000,53257859_2
38-1-0,38,0,Townsend St & Humboldt Ave - Wren St via Forest Hills,School days only,3,50380004,53257838
38-_-1,38,1,Wren St - Forest Hills Station,,1,50380100,53258719
38-C-1,38,1,Centre & W Roxbury Pkwy - Forest Hills Station,School days only,3,50380104,53257833_1
38-D-1,38,1,Wren St - Forest Hills Station,School days only,3,50380106,53257832_1
39-3-0,39,0,Back Bay Station - Forest Hills Station,,1,50390000,53422779
39-7-0,39,0,Huntington Ave & Longwood Ave - Forest Hills Station,School days only,3,50390004,53257854_1
39-Y-0,39,0,Ave Louis Pasteur - Forest Hills Station via Brigham Cir,School days only,3,50390006,53257852_1
39-M-0,39,0,Haymarket Station - Cleary Square (Detour),Early mornings only,3,50390008,53257827
39-3-1,39,1,Forest Hills Station - Back Bay Station,,1,50390100,53422778
39-7-1,39,1,Forest Hills Station - Huntington Ave & Longwood Ave,School days only,3,50390104,53257825_2
39-I-1,39,1,Forest Hills Station - Ave Louis Pasteur,School days only,3,50390106,53257832_2
39-_-1,39,1,Cleary Square - Haymarket Station,Early mornings only,3,50390108,53257826
40-_-0,40,0,Forest Hills Station - Georgetowne via Alwin St (PM Route),,1,50400000,53258463
40-2-0,40,0,Forest Hills Station - Georgetowne (AM Route),Weekdays only,1,50400004,53258464
40-_-1,40,1,Georgetowne - Forest Hills Station (PM Route),,1,50400100,53258462
40-2-1,40,1,Georgetowne - Forest Hills Station via Alwin St (AM Route),Weekdays only,1,50400104,53258469
4050-5-0,4050,0,Forest Hills Station - Cleary Square via Georgetowne,,1,50401000,53258505
4050-5-1,4050,1,Cleary Square - Forest Hills Station via Metropolitan Ave,,1,50401100,53258481
41-_-0,41,0,JFK/UMass Station - Centre St & Eliot St,,1,50410000,53258194
41-1-0,41,0,Nubian Station - Centre St & Eliot St,Weekday early mornings only,3,50410004,53257862
41-_-1,41,1,Centre St & Eliot St - JFK/UMass Station,,1,50410100,53258164
42-1-0,42,0,Nubian Station - Forest Hills Station,,1,50420000,53258069
42-1-1,42,1,Forest Hills Station - Nubian Station,,1,50420100,53258067
43-_-0,43,0,Park St Station - Ruggles Station,,1,50430000,53164848
43-_-1,43,1,Ruggles Station - Park St Station,,1,50430100,53164856
44-1-0,44,0,Ruggles Station - Jackson Square Station,,1,50440000,53304639
44-2-0,44,0,Humboldt Ave & Townsend St - Jackson Square Station,School days only,3,50440004,53165234
44-1-1,44,1,Jackson Square Station - Ruggles Station,,1,50440100,53304641
45-_-0,45,0,Ruggles Station - Franklin Park,Weekdays only,1,50450000,53304712
45-3-0,45,0,Ruggles Station - Franklin Park via Eliot Square,,2,50450003,53305745
45-1-0,45,0,Ruggles Station - Ashmont Station,Late nights only,3,50450006,53306242
45-_-1,45,1,Franklin Park - Ruggles Station via Eliot Square,,1,50450100,53304706
45-2-1,45,1,Franklin Park - Nubian Station,School days only,3,50450104,53306685
45-1-1,45,1,Ashmont Station - Ruggles Station,Early mornings only,3,50450106,53181367
47-8-0,47,0,"Broadway Station - Central Square, Cambridge",,1,50470000,53305178
47-8-1,47,1,"Central Square, Cambridge - Broadway Station",,1,50470100,53305169
50-_-0,50,0,Forest Hills Station - Cleary Square,,1,50500000,53258295
50-_-1,50,1,Cleary Square - Forest Hills Station,,1,50500100,53258305
51-_-0,51,0,Forest Hills Station - Reservoir Station,,1,50510000,53258528
51-9-0,51,0,"Forest Hills Station - Union Square, Boston via Reservoir",School days only,3,50510004,53257829
51-_-1,51,1,Reservoir Station - Forest Hills Station,,1,50510100,53258529
51-9-1,51,1,"Union Square, Boston - Forest Hills Station via Reservoir",School days only,3,50510104,53257830
52-5-0,52,0,Watertown - Dedham Mall via Meadowbrook Rd,Weekdays only,1,50520000,53259191
52-4-0,52,0,Watertown - Charles River Loop via Meadowbrook Rd,AM peak hours only,2,50520003,53259200
52-5-1,52,1,Dedham Mall - Watertown via Meadowbrook Rd,Weekdays only,1,50520100,53259193
52-4-1,52,1,Charles River Loop - Watertown via Meadowbrook Rd,Weekdays only,2,50520102,53259201
55-_-0,55,0,Copley Square - Jersey St & Queensberry St,Middays only,1,50550000,53306446
55-_-1,55,1,Jersey St & Queensberry St - Copley Square,,1,50550100,53306469
57-_-0,57,0,Kenmore Station - Watertown Yard,,1,50570000,53164844
57-8-0,57,0,Ave Louis Pasteur - Watertown Yard,School days only,3,50570004,53165049
57-A-0,57,0,Kenmore Station - Oak Square,School days only,3,50570006,53306665
57-C-0,57,0,"Union Square, Boston - Watertown Yard",School days only,3,50570008,53306866_3
57-M-0,57,0,Haymarket Station - Watertown Yard (Detour),Weekday early mornings only,3,50570010,53164827
57-H-0,57,0,Haymarket Station - Watertown Yard,Early mornings only,3,50570011,53181591
57-_-1,57,1,Watertown Yard - Kenmore Station,,1,50570100,53164839
57-A-1,57,1,Oak Square - Kenmore Station,School days only,3,50570104,53306654
57-4-1,57,1,Cambridge St & Warren St - Kenmore Station,School days only,3,50570106,53305665
57-E-1,57,1,"Oak Square - Union Square, Boston",School days only,3,50570108,53306322_1
57-H-1,57,1,Watertown Yard - Haymarket Station,Early mornings only,3,50570110,53164823
59-2-0,59,0,Watertown Square - Needham Junction,,1,50590000,53164942
59-_-0,59,0,Watertown Square - Needham Junction via Eliot St,Weekdays only,2,50590004,53165102
59-2-1,59,1,Needham Junction - Watertown Square,,1,50590100,53164951
59-_-1,59,1,Needham Junction - Watertown Square via Eliot St,Weekdays only,2,50590104,53164957
60-_-0,60,0,Kenmore Station - Chestnut Hill,,1,50600000,53165022
60-2-0,60,0,Kenmore Station - Boylston St & Tully St via Chestnut Hill,Weekdays only,2,50600004,53164830
60-4-0,60,0,Brookline Village - Boylston St & Tully St,Weekday early mornings only,3,50600007,53164837
60-3-0,60,0,Brookline Village - Chestnut Hill,Early mornings only,3,50600009,53181397
60-_-1,60,1,Chestnut Hill - Kenmore Station,,1,50600100,53165027
60-2-1,60,1,Boylston St & Tully St - Kenmore Station,Weekdays only,1,50600104,53164833
60-3-1,60,1,Chestnut Hill - Brookline Village,Late nights only,3,50600107,53305584
61-_-0,61,0,Waltham Center - North Waltham,,1,50610000,53145168
